artwork_id,display_name,artist_id
ARTIC-1f1931d1-06f4-c005-a75d-1a0b12470d92,"Albert Pinkham Ryder (American, 1847-1917)",Q948598
ARTIC-1f209f36-e526-096c-4fcb-c27c454440ca,"Will Hicock Low (American, 1853-1932)",Q8002863
ARTIC-1f925e43-ff81-5ad7-da75-b28ea651c09f,"Claude Monet (French, 1840–1926)",Q296
ARTIC-1f99a0f0-a2f2-c551-75ef-be7f7c23b046,"Robert Matthew Sully (American, 1803-1855)",Q21809656
ARTIC-202951d5-eb13-8fce-289e-e3582509b2f7,Iran,
ARTIC-20dc42f2-3f2d-b68a-964b-6681ed507985,"Yao Kuang (Chinese, active 17th century)",Q65915372
ARTIC-20e3a1c6-7842-5693-67c8-a0f2b4abc363,"Joseph Siffred Duplessis (French, 1725-1802)",Q2286906
ARTIC-211e903f-a1a3-76d5-90b0-13a1717ee210,"Frederic Remington (American, 1861–1909)",Q560787
ARTIC-2140dc2a-d145-2c14-35c9-233f3530dc75," Qiu Ying (Chinese, c.1495-1551)",Q769372
ARTIC-21bd8c8d-eaee-3128-3357-658c1aa5b910,"Perugino (Pietro di Cristoforo Vannucci) (Italian, 1445/46-1523)",Q5827
ARTIC-21de3ab9-5ef4-c0b1-9712-acaad0229562,Gao Yang （高陽） (Chinese (active early/mid-17th century),Q45474584
ARTIC-2202b9d5-7eaf-d6ec-b8fd-3873c8c2933e,"Alessandro Magnasco (Italian, 1667-1749)",Q516941
ARTIC-2238313e-4e81-a5be-0605-6f2d05e4401f,"Sesson Shukei (Japanese, 1504-about 1589)",Q3480606
ARTIC-22609746-bd4b-c9b6-8293-dfd393f00c20," William A. Mitchell (American, 1828-1890)",Q5989294
ARTIC-2295d601-573b-72f8-9760-cfec0d116b48,"Apollonio di Giovanni (Italian, 1415/17-1465)",Q2858468
ARTIC-22f0f6d6-9cbf-6ca9-f7f3-8da3a976e38d,"Sakai Oho (Japanese, 1808-1841)",Q11644287
ARTIC-2304d661-2cb9-b550-bc41-9ff923177fc5,"Martín de Soria (Spanish, active 1449-87)",Q9029840
ARTIC-2308f4e9-7554-872a-a7bb-5835ef7d7d7f,"Sir Henry Raeburn (Scottish, 1756-1823)",Q561916
ARTIC-2330d78d-3ced-8c4f-0b54-e2db00c48656,"Lin Xue (Chinese, active early 17th century)",Q3241243
ARTIC-234a7974-fc13-e270-a0ab-aeaaa606e454,"Maria van Oosterwijck (Dutch, 1630–1693)",Q292250
ARTIC-234f3c5c-4630-bbc4-276c-e97b18692696,"George Inness (American, 1825–1894)",Q704868
ARTIC-237c25a2-6051-a8e7-1610-a01938d4deab,"Meindert Hobbema (Dutch, 1638–1709)",Q336908
ARTIC-23c6c5c9-b8bf-8664-f547-4ddc932733f8,"Édouard Manet (French, 1832–1883)",Q40599
ARTIC-2432b014-7b1e-7d53-2c0c-62228344a14d,"Alessandro Magnasco (Italian, 1667-1749)",Q516941
