,tag_id,artwork_id
388,1,ARTIC-37f802ca-7831-14d6-82c6-060d825baabd
5487,1,MET-cbf0308d-0831-4539-aaad-5e9f033c9e53
7870,1,MET-97912f18-6258-48a8-bf0a-21e17c11166b
7871,1,MET-302e72ec-069d-4367-a474-8c34eef93ccb
2960,1,NGA-8658abb7-0c48-4d48-9216-5dc7f5f2124c
1478,1,ARTIC-de060306-b5a3-5139-cad9-57e9c274d7c3
11843,1,TCMA-1ba7e41c-4d87-4068-84aa-f23aa9673cf7
5063,1,MET-9f933496-2348-4fcf-b0a3-5c2b00baded4
5488,1,MET-7495a7b0-f9c5-443a-ab5c-278c208aa0b4
6007,1,MET-81f75327-391a-4b65-a5a3-6484dcd7dfd7
1486,1,ARTIC-deed7402-d831-d172-415c-afb98f1dfdc5
10181,1,TCMA-349f5123-3dc8-42f5-a976-edd310090044
4797,1,MET-82bb1d83-417d-4244-931d-9610cb6a0b7c
11853,1,TCMA-760419e4-9db6-40cc-b2e8-b18e16c62393
6271,1,MET-2a3090e8-84a2-4ef2-b87f-e2c2160f79e8
2949,1,NGA-8526254a-0293-4c1c-a397-0a26f13a9fe3
381,1,ARTIC-373a653d-e4aa-bf45-aa6b-d3c1c803db67
7883,1,MET-fabe583e-ef5a-40fe-85e5-7f370642d568
1495,1,ARTIC-e0d8a305-15b0-bdcd-1e83-06d8594a2f7e
5496,1,MET-fcad3fc4-2741-4a3d-a0ea-0ef9c020f009
2948,1,NGA-84e07117-0c3b-43d5-8042-bfd7b5b19b1c
10159,1,TCMA-878c5239-781b-4e41-b39c-901947e63920
6005,1,MET-9f4ae4c1-6a6b-4822-963b-f822486b7d15
5497,1,MET-e59f927d-6811-4eba-a143-28db9769fb05
4109,1,NGA-fe1ad49e-ff0d-4c54-af72-dc5ecd7e4795
1497,1,ARTIC-e0f47937-a1ee-76b4-6505-35a33119a634
6757,1,MET-a47f05fd-89b3-47c7-b951-f230488cfeb6
10156,1,TCMA-86ed90a7-1c90-48b2-bf81-10182c7e9927
6003,1,MET-421dbc2a-41d7-4ee1-89da-6ae7e9a69371
10155,1,TCMA-1bbc3094-14b2-4ee6-b0f6-0061d5db4e15
10154,1,TCMA-f10ff67c-512f-47cf-82c8-ede3a9eaf551
7884,1,MET-c07dd583-54e7-49d8-82bc-0e3f8589ecda
5495,1,MET-134f3431-ba65-4eda-92c4-4eac699c6e39
5061,1,MET-29d343eb-ad45-4f04-91a9-b25d11995af4
1493,1,ARTIC-e0314dfb-14fb-cd68-4a81-34d5a3fd9af9
2950,1,NGA-8531ee6c-2c7f-4b50-ac0b-e1e64d4e121d
4108,1,NGA-fdfa01c4-7334-4a34-a1fa-64429773e96e
10179,1,TCMA-6c3beb0b-7171-440e-90fd-6eceeeff83e7
6761,1,MET-0a837709-4b3f-4595-862c-a7e34231fefa
4468,1,MET-4dde2a9e-9911-4d24-8d59-bf9c28b406c9
1488,1,ARTIC-df1859a8-977e-6571-0425-e10516f34b8b
10178,1,TCMA-81c1d870-6f07-4200-b3f1-e75e170eb95a
7879,1,MET-12b14c04-b08d-4cb5-989c-de771991434b
3924,1,NGA-e7c01642-850e-45fa-9113-7c5613029220
