artist_id,display_name,birth_year,death_year,nationality
TCMA-38512,"Yu Zhiding (Chinese, 1647–c. 1716)",1647,1721,Chinese
TCMA-34749,"Gion Seitoku (Japanese, active late 1700s–early 1800s)",None,None,Japanese
TCMA-11294,"Sesshū Tōyō (Japanese, 1420–1506)",1420,1506,Japanese
TCMA-1635,"Isidore Pils (French, 1813/15–1875)",1813,1875,French
TCMA-31358,"Gao Fenghan (Chinese, 1683–1749)",1683,1749,Chinese
TCMA-438723,"Purkhu (Indian, 1750–1860)",1750,1860,Indian
TCMA-6026,"Fukae Roshū (Japanese, 1699–1757)",1699,1757,Japanese
TCMA-2962,"Philipp Hackert (German, 1737–1807)",1737,1807,German
TCMA-2279,"Guido Reni (Italian, 1575–1642)",1575,1642,Italian
TCMA-1201,"Francesco Guardi (Italian, 1712–1793)",1712,1793,Italian
TCMA-282172,"Ikkyū Sōjun (Japanese, 1394–1481)",1394,1481,Japanese
TCMA-22954,"Song Xu (Chinese, 1525-c. 1606)",1525,1606,Chinese
TCMA-2593,"Edward Hicks (American, 1780–1849)",1780,1849,American
TCMA-2873,"Jacob Ochtervelt (Dutch, 1634–1682)",1634,1682,Dutch
TCMA-286640,"Basawan​ (Indian, active mid-1500s)",1516,1636,Indian
TCMA-23276,"Peng Xu (Chinese, active 1488–1521)",None,None,Chinese
TCMA-31140,"Min Zhen (Chinese, 1730–after 1788)",1730,1788,Chinese
TCMA-33134,"Xugu (Chinese, 1823–1896)",1823,1896,Chinese
